CODIGO_E4E;CODIGO_EC;DESC;CONTRATISTA;UNIDAD;DISPERSION;GM
NF0828;SCO112;T1 - CONSTRUCCIÓN DE PLACA DE CONTRAPISO EN CONCRETO DE 2500 PSI;JA10136439;m2;T1;LELE0502
NF0829;SHO113;T1 - CANALIZ. TIPO A  EN  TERRIZO 1T (PROFUNDIDAD < 1M);JA10136439;m;T1;LELE0502
NF0830;SHO114;T1 - CANALIZ. TIPO A  EN VEREDA, ASFALTO O CEMENTO CON CONCRETO HASTA 15 CM 1T (PROFUNDIDAD < 1M);JA10136439;m;T1;LELE0502
NF0831;SHO115;T1 - CANALIZ. TIPO A  EN VEREDA, ASFALTO O CEMENTO CON CONCRETO MÁS DE  15 CM 1T (PROFUNDIDAD < 1M);JA10136439;m;T1;LELE0502
NF0832;SHO116;"T1 - CANALIZ. TIPO B  EN  TERRIZO 1T (PROFUNDIDAD  1M <> 1,5M)
";JA10136439;m;T1;LELE0502
NF0833;SHO117;"T1 - CANALIZ. TIPO B  EN VEREDA, ASFALTO O CEMENTO CON CONCRETO HASTA 15 CM 1T (PROFUNDIDAD  1M <> 1,5M)
";JA10136439;m;T1;LELE0502
NF0834;SHO118;"T1 - CANALIZ. TIPO B  EN VEREDA, ASFALTO O CEMENTO CON CONCRETO MÁS DE  15 CM 1T (PROFUNDIDAD 1M <> 1,5M)
";JA10136439;m;T1;LELE0502
NF0835;SHO124;T1 - SUPLEMENTO POR CIRCUITO INSTALADO EN VERTICAL (4 TUBOS);JA10136439;m;T1;LELE0502
NF0836;SHO125;T1 - ZANJA TIPO A PARA CABLE DIRECTAMENTE ENTERRADO EN GRAVA O TERRIZO (PROFUNDIDAD < 1M);JA10136439;m;T1;LELE0502
NF0837;SHO126;T1 - ZANJA TIPO A PARA CABLE DIRECTAMENTE ENTERRADO EN VEREDA CONCRETO O ASFALTO HASTA 15 CM   (PROFUNDIDAD < 1M);JA10136439;m;T1;LELE0502
NF0838;SHO127;T1 - ZANJA TIPO A PARA CABLE DIRECTAMENTE ENTERRADO EN ASFALTO O CONCRETO DE MAS DE 15 CM (PROFUNDIDAD < 1M);JA10136439;m;T1;LELE0502
NF0839;SHO128;T1 - ZANJA PARA CABLE DIRECTAMENTE ENTERRADO EN GRAVA O TERRIZO (PROFUNDIDAD > 1M);JA10136439;m;T1;LELE0502
NF0840;SHO129;T1 - ZANJA TIPO B PARA CABLE DIRECTAMENTE ENTERRADO EN VEREDA CONCRETO O ASFALTO HASTA 15 CM  (PROFUNDIDAD > 1M);JA10136439;m;T1;LELE0502
NF0841;SHO130;T1 - ZANJA TIPO B PARA CABLE DIRECTAMENTE ENTERRADO EN ASFALTO O CONCRETO DE MAS DE 15 CM (PROFUNDIDAD > 1M);JA10136439;m;T1;LELE0502
NF0842;SHO131;T1 - SUPLEMENTO POR INSTALACIÓN DE UN CIRCUITO O DUCTO VERTICAL EN ZANJA O CANALIZACIÓN A O B;JA10136439;m;T1;LELE0502
NF0843;SHO132;T1 - SUPLEMENTO POR INSTALACIÓN DE UN DUCTO HORIZONTAL EN CANALIZACIÓN A O B EN TERRIZO ;JA10136439;m;T1;LELE0502
NF0844;SHO133;"T1 - SUPLEMENTO POR INSTALACIÓN DE UN CIRCUITO O DUCTO HORIZONTAL EN ZANJA O CANALIZACIÓN A O B EN CONCRETO HASTA 15 CM
";JA10136439;m;T1;LELE0502
NF0845;SHO134;"T1 - SUPLEMENTO POR INSTALACIÓN DE UN DUCTO HORIZONTAL EN ZANJA O CANALIZACIÓN A O B EN CONCRETO MAS DE 15 CM
";JA10136439;m;T1;LELE0502
NF0846;SHO135;T1 - SUPLEMENTO POR RELLENO ESPECIAL DE ZANJA (HORMIGÓN/CONCRETO O GRAVA CEMENTO) (M3);JA10136439;m3;T1;LELE0502
NF0847;SHO136;T1 - SUPLEMENTO CANALIZACION PROFUNDIDAD >1,5;JA10136439;m3;T1;LELE0502
NF0848;SHO137;T1 - SUPLEMENTO ROTURA PAVIMENTO EXTRA CON CAPA DE CONCRETO HASTA 15 CM;JA10136439;m2;T1;LELE0502
NF0849;SHO138;T1 - SUPLEMENTO ROTURA PAVIMENTO EXTRA CON CAPA DE CONCRETO ENTRE 15 Y 40 CM;JA10136439;m2;T1;LELE0502
NF0850;SHO139;T1 - CONSTRUCCIÓN DE UN BANCO DE DUCTOS CON TECNOLOGÍA TIPO MICROTUNELERIA;JA10136439;m;T1;LELE0502
NF0851;SHO140;T1 - CIERRE ECOLÓGICO;JA10136439;m;T1;LELE0502
NF0852;SHO142;T1 - RECONSTRUCCIÓN O REPOSICIÓN DE BALDOSA NORMAL DE CEMENTO EN ANDEN O VEREDA;JA10136439;m2;T1;LELE0502
NF0853;SHO143;T1 - RECONSTRUCCIÓN O REPOSICIÓN DE PAVIMENTO HORMIGÓN 200 A 250 KG/CM2 Y ESPESOR DE 0,20 M PARA CALZADA;JA10136439;m2;T1;LELE0502
NF0854;SHO144;T1 - RECONSTRUCCIÓN O REPOSICIÓN DE CÉSPED EN JARDINES;JA10136439;m2;T1;LELE0502
NF0855;SHO145;T1 - RECONSTRUCCIÓN O REPARACIÓN VEREDA O ANDÉN ESPECIAL (REPOSICIÓN BALDOSA ESPECIAL (TIPO FULGET-ADOCRET CERÁMICOS ETC.));JA10136439;m2;T1;LELE0502
NF0856;SHO146;T1 - RECONSTRUCCIÓN DE VEREDA (ANDEN) EN CONCRETO A LA VISTA DE HASTA 15 CM DE ESPESOR HASTA 210 KG/CM2;JA10136439;m2;T1;LELE0502
NF0857;SHO147;T1 - RECONSTRUCCIÓN DE CALZADA EN ASFALTO.;JA10136439;m2;T1;LELE0502
NF0858;SHO148;T1 - RECONSTRUCCIÓN O REPOSICION DE PAVIMENTO HORMIGÓN  MAYOR A 250 HASTA 300 KG/CM2 ESPESOR DE 0,20 M PARA CALZADAS;JA10136439;m2;T1;LELE0502
NF0859;SHO149;T1 - RECONSTRUCCIÓN O REPOSICIÓN DE PAVIMENTO HORMIGÓN FAST TRACK 24 HORAS (SECADO 24 HORAS), ESPESOR DE 0,20 M Y DUREZA MAYOR A 200 KG/CM2;JA10136439;m2;T1;LELE0502
NF0860;SHO150;T1 - DEMARCACIÓN VIAL;JA10136439;m2;T1;LELE0502
NF0861;SHO151;T1 - CONSTRUCCIÓN DE CAMARA O CAJA DE INSPECCIÓN TIPO CALZADA (VEHICULAR) CON MARCO Y TAPA CIRCULAR EN HORMIGÓN ARMADO;JA10136439;m2;T1;LELE0502
NF0862;SHO152;T1 - CONSTRUIR CAMARA O CAMARILLA EN VEREDA DE MANPOSTERIA, ALBAÑILERÍA PARA MT O BT;JA10136439;m2;T1;LELE0502
NF0863;SHO153;T1 - CONSTRUIR CAMARA O CAMARILLA EN VEREDA DE HORMIGÓN ARMADO PARA MT O BT;JA10136439;m2;T1;LELE0502
NF0864;SHO154;T1 - EXCAVACIÓN Y MOVIMIENTO DE TIERRA CALICATA DE INSPECCIÓN (APIQUE);JA10136439;m3;T1;LELE0502
NF0865;SHO155;T1 - CAMBIO O NIVELADO DE MARCO Y TAPA DE CAMARA;JA10136439;Unidad;T1;LELE0502
NF0866;SHO156;T1 - MANTENIMIENTO MENOR DE CAMARA;JA10136439;Cámara;T1;LELE0502
NF0867;SHO157;T1 - INSPECCION CAMARAS SUBTERRANEAS;JA10136439;Cámara;T1;LELE0502
NF0868;SHO159;T1 - MANTENIMIENTO INTEGRAL A CAMARA DE BT;JA10136439;Cámara;T1;LELE0502
NF0869;SHO160;T1 - MANTENIMIENTO INTEGRAL  A CAMARA O BÓVEDA DE MT;JA10136439;Cámara;T1;LELE0502
NF0870;SHO161;T1 - EXTRACCION AGUA EN CAMARAS Y BOVEDAS ;JA10136439;Cámara;T1;LELE0502
NF0871;SHO162;T1 - EXCAVACIÓN PARA EMPALME SUBTERRÁNEO EN VEREDA DE CONCRETO O ASFALTO;JA10136439;Unidad;T1;LELE0502
NF0872;SHO163;T1 - SELLADO DUCTOS EN CAMARA O CAMARILLA (POR DUCTO);JA10136439;Unidad;T1;LELE0502
NF0873;SHO168;T1 - EXCAVACIÓN PARA EMPALME SUBTERRÁNEO EN TERRIZO;JA10136439;Unidad;T1;LELE0502
NF0874;SHO169;T1 - REALIZAR TÚNEL LINER;JA10136439;m;T1;LELE0502
NF0875;SHO170;T1 - INSTALACION CAMARA MT PREFABRICADA;JA10136439;Unidad;T1;LELE0502
NF0876;SHO171;T1 - INSPECCION CAMARILLAS SUBTERRANEAS;JA10136439;Unidad;T1;LELE0502
NF0877;SHO172;T1 - RECONSTRUCCIÓN O REPOSICIÓN DE PAVIMENTO HORMIGÓN 200 A 250 KG/CM2 Y ESPESOR MAYOR DE 0,20 M Y HASTA 0,30 M PARA CALZADA;JA10136439;m2;T1;LELE0502
NF0878;SHO201;T1 - EXCAVACIÓN PARA CAMARA O BOVEDA, NIVELACIÓN, COMPACTADO DE SUB BASE.;JA10136439;m3;T1;LELE0502
NF0879;SHO203;T1 - CONSTRUCCIÓN EN ALBAÑILERIA;JA10136439;m2;T1;LELE0502
NF0880;SHO206;T1 - DEMOLER MANPOSTERIA, ALBAÑILERÍA, PAVIMENTO, CAMARA, BÓVEDA;JA10136439;m2;T1;LELE0502
NF0881;SHO219;T1 - COLOCACIÓN O PINTADO DE CODIGOS IDENTIFICATIVOS;JA10136439;Unidad;T1;LELE0502
NF0882;SHO220;T1 - SUMINISTRO E INSTALACIÓN DE ELEMENTOS ANTIINCENDIOS;JA10136439;Unidad;T1;LELE0502
NF0883;SCO302;T1 - RETIRO DE RED  SUBTERRÁNEA DE TELECOMUNICACIONES  POR METRO LINEAL DE RED.;JA10136439;m de red;T1;LELE0502
NF0884;SCO315;T1 - SONDEO Y COLOCACIÓN DE HILO GUÍA EN DUCTOS LIBRES;JA10136439;m;T1;LELE0502
NF0885;SCO406;T1 - IBT VERIFICACIÓN DEL VÍNCULO CLIENTE RED SUBTERRÁNEO;JA10136439;Unidad;T1;LELE0502
NF0886;SHO316;T1 - INSTALACIÓN DE APOYO DE CABLES EN CAMARA 1 CIRCUITO BT (TRES FASES Y NEUTRO);JA10136439;Conjunto;T1;LELE0502
NF0887;SHO317;T1 - INSTALACIÓN DE APOYO DE CABLES EN CAMARA 2 CIRCUITOS BT (TRES FASES Y NEUTRO);JA10136439;Conjunto;T1;LELE0502
NF0888;SHO318;T1 - INSTALACIÓN DE APOYOS DE CABLES EN CAMARA 1 CIRCUITOS MT (COBRE O ALUMINIO, TRES FASES)  ;JA10136439;Conjunto;T1;LELE0502
NF0889;SHO319;T1 - INSTALACIÓN DE APOYOS DE CABLES EN CAMARA 2 CIRCUITOS MT (COBRE O ALUMINIO, TRES FASES)  ;JA10136439;Conjunto;T1;LELE0502
NF0890;SHO320;T1 - ADECUAR O READECUAR POSICIÓN DE CABLES MT O BT EN CAMARA (TRES FASES Y NEUTRO SI CORRESPONDE);JA10136439;Cámara;T1;LELE0502
NF0891;SHO321;T1 - INSTALAR LAS TRES FASES DE CABLE MONOPOLAR DE HASTA 120 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;m;T1;LELE0502
NF0892;SHO322;T1 - INSTALAR LAS TRES FASES DE CABLE MONOPOLAR MAYOR A 120 HASTA 300 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;m;T1;LELE0502
NF0893;SHO323;T1 - RETIRAR LAS TRES FASES DE CABLES MONOPOLARES MAYOR A 120 HASTA 300 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;m;T1;LELE0502
NF0894;SHO324;T1 - RETIRO  LAS TRES FASES CABLE MONOPOLAR DE HASTA 120 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;m;T1;LELE0502
NF0895;SHO325;T1 - INSTALACIÓN O REEMPLAZO DE UNA FASE DE CABLE MONOPOLAR DE CUALQUIER SECCIÓN (COBRE O ALUMINIO) DE MT  EN DUCTO;JA10136439;m;T1;LELE0502
NF0896;SHO326;T1 - INSTALAR CABLE TRIPOLAR MENOR A 120 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;m;T1;LELE0502
NF0897;SHO327;T1 - INSTALAR CABLE TRIPOLAR MAYOR A 120 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;m;T1;LELE0502
NF0898;SHO328;T1 - RETIRAR CABLE TRIPOLAR MAYOR A 120 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;m;T1;LELE0502
NF0899;SHO329;T1 - RETIRAR CABLE TRIPOLAR MENOR A 120 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;m;T1;LELE0502
NF0900;SHO330;T1 - INSTALAR LAS TRES FASES DE CABLE MONOPOLAR DE HASTA 300 MM2 (COBRE O ALUMINIO) DE MT EN TIERRA  MT;JA10136439;m;T1;LELE0502
NF0901;SHO331;T1 - INSTALAR LAS TRES FASES CABLE MONOPOLAR MAYOR A 300 MM2  (COBRE O ALUMINIO) DE MT DIRECTAMENTE EN TIERRA MT;JA10136439;m;T1;LELE0502
NF0902;SHO332;T1 - RETIRAR  LAS TRES FASES CABLE MONOPOLAR (COBRE O ALUMINIO) DE MT EN TIERRA CUALQUIER SECCIÓN;JA10136439;m;T1;LELE0502
NF0903;SHO333;T1 - INSTALAR LAS TRES FASES DE CABLE MONOPOLAR DE HASTA 120 MM2 (COBRE O ALUMINIO) BT EN DUCTO;JA10136439;m;T1;LELE0502
NF0904;SHO334;T1 - INSTALAR LAS TRES FASES DE CABLE MONOPOLAR MAYOR A 120 MM2 (COBRE O ALUMINIO) BT EN DUCTO;JA10136439;m;T1;LELE0502
NF0905;SHO335;T1 - RETIRAR LAS TRES FASES DE CABLES MONOPOLARES MAYOR A 120 MM2 (COBRE O ALUMINIO) BT EN DUCTO;JA10136439;m;T1;LELE0502
NF0906;SHO336;T1 - RETIRO  LAS TRES FASES CABLE MONOPOLAR DE HASTA 120 MM2 (COBRE O ALUMINIO) BT EN DUCTO;JA10136439;m;T1;LELE0502
NF0907;SHO337;T1 - INSTALACIÓN O REEMPLAZO DE UNA FASE DE CABLE MONOPOLAR DE CUALQUIER SECCIÓN (COBRE O ALUMINIO) DE BT  EN DUCTO;JA10136439;m;T1;LELE0502
NF0908;SHO338;"T1 - INSTALAR CABLE TRIPOLAR/TETRAPOLAR MENOR A 120 MM2 (COBRE O ALUMINIO) BT EN DUCTO
";JA10136439;m;T1;LELE0502
NF0909;SHO339;T1 - INSTALAR CABLE TRIPOLAR/TETRAPOLAR MAYOR A 120 MM2 (COBRE O ALUMINIO) BT EN DUCTO;JA10136439;m;T1;LELE0502
NF0910;SHO340;T1 - RETIRAR CABLE TRIPOLAR/TETRAPLOAR MAYOR A 120 MM2 (COBRE O ALUMINIO) BT EN DUCTO (x 100);JA10136439;m;T1;LELE0502
NF0911;SHO341;T1 - RETIRAR CABLE TRIPOLAR/TETRAPOLAR MENOR A 120 MM2 (COBRE O ALUMINIO) BT EN DUCTO (x100);JA10136439;m;T1;LELE0502
NF0912;SHO342;T1 - INSTALAR LAS TRES FASES DE CABLE MONOPOLAR O CONDUCTOR TETRAPOLAR DE HASTA 120 MM2 (COBRE O ALUMINIO) DIRECTAMENTE EN TIERRA BT;JA10136439;m;T1;LELE0502
NF0913;SHO343;T1 - INSTALAR LAS TRES FASES CABLE MONOPOLAR O CONDUCTOR TETRAPOLAR MAYOR A 120 MM2  (COBRE O ALUMINIO) DIRECTAMENTE EN TIERRA BT;JA10136439;m;T1;LELE0502
NF0914;SHO344;T1 - RETIRO LAS TRES FASES CABLE MONOPOLAR O CONDUCTOR TETRAPOLAR  (COBRE O ALUMINIO) DE BT EN TIERRA CUALQUIER SECCIÓN;JA10136439;m;T1;LELE0502
NF0915;SHO345;T1 - PRUEBAS DE CABLES MT O BT (SEGÚN CORRESPONDA);JA10136439;Global;T1;LELE0502
NF0916;SHO346;T1 - INSTALACIÓN DE BARRAJE PREFORMADO PARA BT/MT/AP EN CAMARAS DE INSPECCIÓN;JA10136439;Unidad;T1;LELE0502
NF0917;SHO347;T1 - RETIRO DE BARRAJE PREFORMADO PARA M.T. O B.T.O AP EN CAMARAS DE INSPECCIÓN;JA10136439;Unidad;T1;LELE0502
NF0918;SHO348;T1 - MANTENIMIENTO MENOR EN LA RED SUBTERRÁNEA;JA10136439;m;T1;LELE0502
NF0919;SHO349;T1 - REALIZAR MUFA RECTA (UNIÓN RECTA O EMPALME) EN CABLES BT MONOPOLARES (TRES FASES Y NEUTRO);JA10136439;Unidad;T1;LELE0502
NF0920;SHO350;T1 - REALIZAR MUFA RECTA SIMPLE (UNIÓN RECTA O EMPALME) EN CABLES BT MONOPOLARES (UNA FASE O NEUTRO);JA10136439;Unidad;T1;LELE0502
NF0921;SHO351;T1 - REALIZAR MUFA DERIVACIÓN  (UNIÓN DERIVACIÓN O EMPALME CON DERIVACIÓN) EN CABLES BT MONOPOLARES. TRES FASES Y NEUTRO SI CORRESPONDE;JA10136439;Conjunto;T1;LELE0502
NF0922;SHO352;T1 - REALIZAR MUFA DERIVACIÓN SIMPLE (UNIÓN DERIVACIÓN O EMPALME CON DERIVACIÓN) EN CABLES BT MONOPOLARES (UNA FASE O NEUTRO);JA10136439;Unidad;T1;LELE0502
NF0923;SHO353;T1 - REALIZAR MUFA RECTA (UNIÓN RECTA O EMPALME) EN CABLES MT MONOPOLARES. TRES FASES;JA10136439;Conjunto;T1;LELE0502
NF0924;SHO354;T1 - REALIZAR MUFA RECTA SIMPLE (UNIÓN RECTA O EMPALME) EN CABLES MT MONOPOLARES. UNA FASE;JA10136439;Unidad;T1;LELE0502
NF0925;SHO355;T1 - REALIZAR MUFA DERIVACIÓN  (UNIÓN DERIVACIÓN O EMPALME CON DERIVACIÓN) EN CABLES MT MONOPOLARES. TRES FASES;JA10136439;Conjunto;T1;LELE0502
NF0926;SHO356;T1 - REALIZAR MUFA DERIVACIÓN  (UNIÓN DERIVACIÓN O EMPALME CON DERIVACIÓN) EN CABLES MT MONOPOLARES. UNA FASE;JA10136439;Unidad;T1;LELE0502
NF0927;SHO359;T1 - INSTALAR INDICADORES DE FALLA SUBTERRÁNEOS;JA10136439;Unidad;T1;LELE0502
NF0928;SHO360;T1 - INSTALACIÓN O RETIRO DE PORTA FUSIBLES SUBTERRÁNEOS  MT;JA10136439;Unidad;T1;LELE0502
NF0929;SHO362;T1 - INSTALAR O RETIRAR SECCIONADOR TRIFÁSICO SUBTERRANEO BT  ;JA10136439;Unidad;T1;LELE0502
NF0930;SHO364;T1 - INSTALAR EQUIPO MANIOBRA EN MEDIA TENSIÓN SUBTERRANEA;JA10136439;Unidad;T1;LELE0502
NF0931;SHO365;T1 - RETIRAR EQUIPO MANIOBRA EN MEDIA TENSIÓN SUBTERRANEA;JA10136439;Unidad;T1;LELE0502
NF0932;SHO369;T1 - INSTALACIÓN O RETIRO DE PORTA FUSIBLES SUBTERRÁNEOS BT;JA10136439;Unidad;T1;LELE0502
NF0933;SCO316;T1 - INSTALACIÓN O RETIRO DE UN FUSIBLE SUBTERRÁNEO EN MT;JA10136439;Unidad;T1;LELE0502
NF0934;SHO371;T1 - RETIRAR MUFA DE UNION RECTA, DERIVACIÓN O TERMINAL EN CABLES MT - TRES FASES;JA10136439;Unidad;T1;LELE0502
NF0935;SHO372;T1 - INSTALACIÓN DE UN TERMINAL EN CABLES EN BT;JA10136439;Unidad;T1;LELE0502
NF0936;SHO373;T1 - INSTALACION  BANDEJA PORTACABLE;JA10136439;m;T1;LELE0502
NF0937;SHO374;T1 - INSTALAR LAS TRES FASES DE CABLE MONOPOLAR MAYOR A 300 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;m;T1;LELE0502
NF0938;SHO375;T1 - RETIRO LAS TRES FASES DE CABLE MONOPOLAR MAYOR A 300 MM2 (COBRE O ALUMINIO) MT EN DUCTO;JA10136439;Unidad;T1;LELE0502
NF0939;SHO376;T1 - PASO AÉREO SUBTERRÁNEO MT;JA10136439;Conjunto;T1;LELE0502
NF0940;SHO377;T1 - PASO AÉREO SUBTERRÁNEO BT;JA10136439;Conjunto;T1;LELE0502
NF0941;SHO378;T1 - RETIRO DE PASO AÉREO SUBTERRÁNEO MT;JA10136439;Unidad;T1;LELE0502
NF0942;SHO379;T1 - RETIRO DE PASO AÉREO SUBTERRÁNEO BT;JA10136439;Unidad;T1;LELE0502
NF0943;SHO380;T1 - PRUEBAS DE CABLES MT O BT - EQUIPO APORTADO POR EL CONTRATISTA;JA10136439;Unidad;T1;LELE0502
NF0944;SCO401;T1 - INSTALACIÓN, SUSTITUCIÓN O RETIRO  DE TAPA PARA CAJA DE INSPECCIÓN SENCILLA, DOBLE O TRIPLE.;JA10136439;Unidad;T1;LELE0502
NF0945;SHO426;T1 - INSTALACIÓN DE UN SECCIONADOR SUBTERRANEO  (CUCHILLAS, FUSIBLES, LLAVES FACA);JA10136439;Unidad;T1;LELE0502
NF0946;SHO427;T1 - RETIRO DE UN SECCIONADOR SUBTERRANEO  (CUCHILLAS, FUSIBLES, LLAVES FACA);JA10136439;Unidad;T1;LELE0502
NF0947;SHO430;T1 - INSTALACIÓN PLACA O MARCAS DE LADOS PARA EQUIPOS O POSTES;JA10136439;Unidad;T1;LELE0502
NF0948;SHO436;T1 - SUPLEMENTO MAQUINARIA ESPECIAL INSTALACIÓN TRANSFORMADOR INTERIOR DE EDIFICIO;JA10136439;Global;T1;LELE0502
NF0949;SHO437;T1 - INSTALACION BYPASS MOVIL;JA10136439;Unidad;T1;LELE0502
NF0950;SCO301;T1 - LEVANTAMIENTO CATASTRAL DE LA RED DE TELECOMUNICACIONES SUBTERRANEA (PARABÓLICAS, TELEFONÍA VOZ Y DATOS) COMPARTIDA CON INFRAESTRUCTURA DE CODENSA. S.A.E.S.P. POR POSTE.;JA10136439;Estructura;T1;LELE0502
NF0951;SHO602;T1 - PAGO ADICIONAL POR TRABAJOS RELIZADOS EN HORARIO NOCTURNO O EN DIAS FESTIVOS;JA10136439;Puntos;T1;LELE0502
NF0952;SHO605;T1 - OPERACIÓN EN EQUIPOS MT DE DISTRIBUCIÓN SUBTERRÁNEA;JA10136439;Unidad;T1;LELE0502
NF0953;SHO607;T1 - APERTURA Y CIERRE DE UD DESARMABLE, TRES FASES (CTO);JA10136439;Unidad;T1;LELE0502
NF0954;SHO608;T1 - CORTE O REPOSICIÓN DE SERVICIO EN MT ;JA10136439;Unidad;T1;LELE0502
NF0955;SHO610;T1 - AVISAJE SIN ACUSE;JA10136439;Unidad;T1;LELE0502
NF0956;SHO611;T1 - AVISAJE CON ACUSE;JA10136439;Unidad;T1;LELE0502
NF0957;SHO618;T1 - INSPECCION PREVIA DE DESCARGOS  REDES SUBTERRÁNEAS (ZONAS DE DESCONEXIÓN PROGRAMADA);JA10136439;Unidad;T1;LELE0502
NF0958;SHO619;T1 - EFECTUAR HERMETISMO PROTECTORES NETWORK;JA10136439;Unidad;T1;LELE0502
NF0959;SHO620;T1 - REVISIÓN Y MEDICIÓN TIERRAS DE SERVICIO;JA10136439;Unidad;T1;LELE0502
NF0960;CHO112;T1 - CORTE MONOFÁSICO EN POSTE;JA10136439;Unidad;T1;LEII0900
NF0961;CHO113;T1 - CORTE TRIFÁSICO EN POSTE;JA10136439;Unidad;T1;LEII0900
NF0962;CHO114;T1 - SUPLEMENTO CORTE  EN ALTURA (RED DAT/DAM);JA10136439;Unidad;T1;LEII0900
NF0963;CHO115;T1 - RETIRO DE ARRANQUES CLANDESTINOS;JA10136439;Unidad;T1;LEII0900
NF0964;CHO116;T1 - VISITA SIN ACTUACIÓN EN MOTO;JA10136439;Unidad;T1;LEII0900
NF0965;CHO117;T1 - REPOSICIÓN MONOFÁSICO EN CAJA DE MEDIDORES;JA10136439;Unidad;T1;LEII0900
NF0966;CHO118;T1 - REPOSICIÓN POLIFÁSICA EN CAJA DE MEDIDORES;JA10136439;Unidad;T1;LEII0900
NF0967;CHO119;T1 - REPOSICIÓN MONOFASICA O TRIFASICA EN TERMOMAGNÉTICO;JA10136439;Unidad;T1;LEII0900
NF0968;CHO122;T1 - REPOSICIÓN  EN POSTE MONOFASICA;JA10136439;Unidad;T1;LEII0900
NF0969;CHO123;T1 - REPOSICIÓN EN POSTE TRIFASICA;JA10136439;Unidad;T1;LEII0900
NF0970;CHO124;T1 - SUPLEMENTO REPOSICIÓN  EN ALTURA (RED DAT/DAM);JA10136439;Unidad;T1;LEII0900
NF0971;CHO125;T1 - REPOSICIÓN  EN CAMARA, CAJA DE REGISTRO O EMPALME SUBTERRANEO;JA10136439;Unidad;T1;LEII0900
NF0972;CHO126;T1 - CORTE EN CAMARA, CAJA DE REGISTRO O EMPALME SUBTERRANEO;JA10136439;Unidad;T1;LEII0900
NF0973;CHO127;T1 - CORTE MONOFÁSICO EN CAJA DE MEDIDORES;JA10136439;Unidad;T1;LEII0900
NF0974;CHO128;T1 - CORTE POLIFÁSICO EN CAJA DE MEDIDORES;JA10136439;Unidad;T1;LEII0900
NF0975;CHO129;T1 - CORTE MONOFÁSICO O TRIFÁSICO EN TERMOMAGNÉTICO;JA10136439;Unidad;T1;LEII0900
NF0976;CHO130;T1 - CORTE EN MEDICIÓN INDIRECTA;JA10136439;Unidad;T1;LEII0900
NF0977;CHO131;T1 - CORTE EN MEDIA o BAJA TENSIÓN CON RETIRO DE LA CONEXION;JA10136439;Unidad;T1;LEII0900
NF0978;CHO132;T1 - REPOSICIÓN MEDICIÓN INDIRECTA;JA10136439;Unidad;T1;LEII0900
NF0979;CHO133;T1 - REPOSICIÓN EN MEDIA TENSIÓN;JA10136439;Unidad;T1;LEII0900
NF0980;CCO201;T1 - MANTENIMIENTO TELEMEDICIÓN ;JA10136439;Unidad;T1;LEII0900
NF0981;CCO207;T1 - LEVANTAMIENTO DE INFORMACIÒN DE RED ALUMBRADO Y LUMINARIAS;JA10136439;Unidad;T1;LEII0900
NF0982;CCO208;T1 - VERIFICACIÓN DEL VÍNCULO CLIENTE RED AÉREO ;JA10136439;Unidad;T1;LEII0900
NF0983;CCO209;T1 - VERIFICACIÓN DEL VÍNCULO CLIENTE RED AÉREO PUNTUAL ;JA10136439;Unidad;T1;LEII0900
NF0984;CCO214;T1 - ICM LEVANTAMIENTO ZONA POR CENTRO DE DISTRIBUCIÓN;JA10136439;Unidad;T1;LEII0900
NF0985;CCO217;T1 - IBT VERIFICACIÓN DEL VÍNCULO CLIENTE RED SUBTERRÁNEO;JA10136439;Unidad;T1;LEII0900
NF0986;CCO236;T1 - VALIDACIÓN DE FUNCIONAMIENTO DE MEDIDA PARA QUE EL CLIENTE REALICE ADECUACIONES ;JA10136439;Unidad;T1;LEII0900
NF0987;CCO237;T1 - SUPLEMENTO TRABAJO EN ALTURA BT;JA10136439;Unidad;T1;LEII0900
NF0988;CCO238;T1 - INSPECCIÓN COMERCIAL  ESPECIAL OPERACIÓN LIVIANA;JA10136439;Unidad;T1;LEII0900
NF0989;CHO209;T1 - VERIFICACIÓN DE LECTURA;JA10136439;Unidad;T1;LEII0900
NF0990;CCO239;T1 - INSTALACIÓN O REPOSICIÓN DE UN FUSIBLE BT;JA10136439;Unidad;T1;LEII0900
NF0991;CHO220;T1 - INSTALACIÓN MEDICIÓN PROVISIONAL;JA10136439;Unidad;T1;LEII0900
NF0992;CHO221;T1 - RETIRADA MEDICIÓN PROVISIONAL;JA10136439;Unidad;T1;LEII0900
NF0993;CHO222;T1 - INSPECCIÓN  HURTO  MONOFASICA;JA10136439;Unidad;T1;LEII0900
NF0994;CHO223;T1 - INSPECCIÓN  HURTO  BIFASICA;JA10136439;Unidad;T1;LEII0900
NF0995;CHO224;T1 - INSPECCIÓN  HURTO  TRIFASICA;JA10136439;Unidad;T1;LEII0900
